config,qid,citation_precision,bibliography_match_rate,orphan_rate,total_citations,bibliography_entries,candidate_pool_size,path
M1,Q01,0.625,0.625,0.375,8,8,8,data\expanded_outputs\method1\Q01_method1_exp_20260412_223724.md
M1,Q02,0.625,0.625,0.375,8,8,8,data\expanded_outputs\method1\Q02_method1_exp_20260412_223955.md
M1,Q03,0.75,0.75,0.25,8,8,8,data\expanded_outputs\method1\Q03_method1_exp_20260412_224201.md
M1,Q04,0.375,0.375,0.625,8,8,8,data\expanded_outputs\method1\Q04_method1_exp_20260412_224354.md
M1,Q05,0.75,0.75,0.25,8,8,8,data\expanded_outputs\method1\Q05_method1_exp_20260412_224544.md
M1,Q61,0.625,0.625,0.375,8,8,8,data\expanded_outputs\method1\Q061_method1_exp_20260413_001846.md
M1,Q62,0.625,0.625,0.375,8,8,8,data\expanded_outputs\method1\Q062_method1_exp_20260413_002011.md
M1,Q63,0.625,0.625,0.375,8,8,8,data\expanded_outputs\method1\Q063_method1_exp_20260413_002139.md
M1,Q64,0.625,0.625,0.375,8,8,8,data\expanded_outputs\method1\Q064_method1_exp_20260413_002324.md
M1,Q65,0.625,0.625,0.375,8,8,8,data\expanded_outputs\method1\Q065_method1_exp_20260413_002516.md
M1,Q66,0.75,0.75,0.25,8,8,8,data\expanded_outputs\method1\Q066_method1_exp_20260413_002652.md
M1,Q67,1.0,1.0,0.0,8,8,8,data\expanded_outputs\method1\Q067_method1_exp_20260413_002814.md
M1,Q68,0.75,0.75,0.25,8,8,8,data\expanded_outputs\method1\Q068_method1_exp_20260413_002945.md
M1,Q69,1.0,1.0,0.0,8,8,8,data\expanded_outputs\method1\Q069_method1_exp_20260413_003112.md
M1,Q06,0.875,0.875,0.125,8,8,8,data\expanded_outputs\method1\Q06_method1_exp_20260412_224736.md
M1,Q70,0.5,0.5,0.5,8,8,8,data\expanded_outputs\method1\Q070_method1_exp_20260413_003249.md
M1,Q71,0.625,0.625,0.375,8,8,8,data\expanded_outputs\method1\Q071_method1_exp_20260413_003445.md
M1,Q72,0.875,0.875,0.125,8,8,8,data\expanded_outputs\method1\Q072_method1_exp_20260413_003623.md
M1,Q73,0.875,0.875,0.125,8,8,8,data\expanded_outputs\method1\Q073_method1_exp_20260413_003749.md
M1,Q74,1.0,1.0,0.0,8,8,8,data\expanded_outputs\method1\Q074_method1_exp_20260413_003913.md
M1,Q75,1.0,1.0,0.0,8,8,8,data\expanded_outputs\method1\Q075_method1_exp_20260413_004040.md
M1,Q76,1.0,1.0,0.0,8,8,8,data\expanded_outputs\method1\Q076_method1_exp_20260413_004223.md
