group_type,group,threshold,n,predicted_match,tp,fp,fn,tn,precision,recall,f1,accuracy
overall,all,0.6,320,263,152,111,0,57,0.5779467680608364,1.0,0.7325301204819276,0.653125
overall,all,0.65,320,231,152,79,0,89,0.658008658008658,1.0,0.7937336814621411,0.753125
overall,all,0.7,320,203,152,51,0,117,0.7487684729064039,1.0,0.856338028169014,0.840625
overall,all,0.72,320,197,152,45,0,123,0.7715736040609137,1.0,0.8710601719197707,0.859375
overall,all,0.75,320,197,152,45,0,123,0.7715736040609137,1.0,0.8710601719197707,0.859375
overall,all,0.8,320,180,152,28,0,140,0.8444444444444444,1.0,0.9156626506024096,0.9125
overall,all,0.85,320,164,152,12,0,156,0.926829268292683,1.0,0.9620253164556963,0.9625
overall,all,0.9,320,160,151,9,1,159,0.94375,0.993421052631579,0.967948717948718,0.96875
overall,all,0.95,320,160,151,9,1,159,0.94375,0.993421052631579,0.967948717948718,0.96875
language,Chinese-present,0.6,4,2,2,0,0,2,1.0,1.0,1.0,1.0
language,Chinese-present,0.65,4,2,2,0,0,2,1.0,1.0,1.0,1.0
language,Chinese-present,0.7,4,2,2,0,0,2,1.0,1.0,1.0,1.0
language,Chinese-present,0.72,4,2,2,0,0,2,1.0,1.0,1.0,1.0
language,Chinese-present,0.75,4,2,2,0,0,2,1.0,1.0,1.0,1.0
language,Chinese-present,0.8,4,2,2,0,0,2,1.0,1.0,1.0,1.0
language,Chinese-present,0.85,4,2,2,0,0,2,1.0,1.0,1.0,1.0
language,Chinese-present,0.9,4,2,2,0,0,2,1.0,1.0,1.0,1.0
language,Chinese-present,0.95,4,2,2,0,0,2,1.0,1.0,1.0,1.0
language,English/Latin,0.6,316,261,150,111,0,55,0.5747126436781609,1.0,0.7299270072992701,0.6487341772151899
language,English/Latin,0.65,316,229,150,79,0,87,0.6550218340611353,1.0,0.7915567282321899,0.75
language,English/Latin,0.7,316,201,150,51,0,115,0.746268656716418,1.0,0.8547008547008548,0.8386075949367089
language,English/Latin,0.72,316,195,150,45,0,121,0.7692307692307693,1.0,0.8695652173913044,0.8575949367088608
language,English/Latin,0.75,316,195,150,45,0,121,0.7692307692307693,1.0,0.8695652173913044,0.8575949367088608
language,English/Latin,0.8,316,178,150,28,0,138,0.8426966292134831,1.0,0.9146341463414633,0.9113924050632911
language,English/Latin,0.85,316,162,150,12,0,154,0.9259259259259259,1.0,0.9615384615384615,0.9620253164556962
language,English/Latin,0.9,316,158,149,9,1,157,0.9430379746835443,0.9933333333333333,0.9675324675324676,0.9683544303797469
language,English/Latin,0.95,316,158,149,9,1,157,0.9430379746835443,0.9933333333333333,0.9675324675324676,0.9683544303797469
domain,biomedical_evidence_synthesis,0.6,60,51,30,21,0,9,0.5882352941176471,1.0,0.7407407407407407,0.65
domain,biomedical_evidence_synthesis,0.65,60,46,30,16,0,14,0.6521739130434783,1.0,0.7894736842105263,0.7333333333333333
domain,biomedical_evidence_synthesis,0.7,60,36,30,6,0,24,0.8333333333333334,1.0,0.9090909090909091,0.9
domain,biomedical_evidence_synthesis,0.72,60,35,30,5,0,25,0.8571428571428571,1.0,0.923076923076923,0.9166666666666666
domain,biomedical_evidence_synthesis,0.75,60,35,30,5,0,25,0.8571428571428571,1.0,0.923076923076923,0.9166666666666666
domain,biomedical_evidence_synthesis,0.8,60,34,30,4,0,26,0.8823529411764706,1.0,0.9375,0.9333333333333333
domain,biomedical_evidence_synthesis,0.85,60,30,30,0,0,30,1.0,1.0,1.0,1.0
